True,LR,LR_prob_0,LR_prob_1,LR_prob_2,LR_prob_3,LR_prob_4,DT,DT_prob_0,DT_prob_1,DT_prob_2,DT_prob_3,DT_prob_4,RF,RF_prob_0,RF_prob_1,RF_prob_2,RF_prob_3,RF_prob_4,SVM,SVM_prob_0,SVM_prob_1,SVM_prob_2,SVM_prob_3,SVM_prob_4,KNN,KNN_prob_0,KNN_prob_1,KNN_prob_2,KNN_prob_3,KNN_prob_4
1,1,0.01455529405198965,0.43349409239459524,0.05185079289007332,0.2385801195507572,0.26151970111258455,1,0.0,1.0,0.0,0.0,0.0,1,0.01,0.47,0.04,0.18,0.3,1,0.006434786733621015,0.5550945808657023,0.06129184596577696,0.17765598216961234,0.1995228042652874,1,0.0,0.4,0.0,0.4,0.2
3,3,0.0075893353715577655,0.05701277776825468,0.023417717454738633,0.8185931993310911,0.09338697007435769,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,1.0,0.0,3,0.0027015133429530995,0.027650741755744286,0.025545379442022443,0.8795265039651597,0.06457586149412033,3,0.0,0.0,0.0,1.0,0.0
3,3,0.007187784534447858,0.03411882721300024,0.0147421795589222,0.8346345910904628,0.10931661760316691,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.01,0.0,0.84,0.15,3,0.0021797872939720827,0.015207313325684618,0.018233208918381916,0.89049048822907,0.07388920223289155,3,0.0,0.0,0.0,0.8,0.2
1,4,0.05245351117366142,0.29771138363847155,0.11492506192117763,0.0871390353818503,0.44777100788483903,1,0.0,1.0,0.0,0.0,0.0,1,0.08,0.51,0.1,0.04,0.27,4,0.04630016881687416,0.27563178987498865,0.13515404598275776,0.09330916095339795,0.44960483437198123,1,0.0,0.6,0.2,0.0,0.2
0,0,0.3653463369493837,0.1257883140519931,0.3340129655585649,0.0496669520702064,0.12518543136985177,2,0.0,0.0,1.0,0.0,0.0,0,0.63,0.05,0.3,0.0,0.02,0,0.39580208863480576,0.11036015829102028,0.32661931344747536,0.03907950623218203,0.12813893339451637,0,0.4,0.0,0.4,0.0,0.2
0,0,0.7835236732117737,0.0022018043610858395,0.2126764079501978,0.0005191957852692227,0.0010789186916734899,0,1.0,0.0,0.0,0.0,0.0,0,0.85,0.0,0.14,0.0,0.01,0,0.7843605809039088,0.0014985357015989261,0.21106295462004784,0.0003868386329356368,0.002691090141508519,0,0.8,0.0,0.2,0.0,0.0
3,3,0.002693867765825291,0.053679668434741645,0.013759087332433773,0.8942204300918305,0.03564694637516896,3,0.0,0.0,0.0,1.0,0.0,3,0.0,0.05,0.0,0.94,0.01,3,0.0010204625168484952,0.031016103075702385,0.016176426632304373,0.9307255049660558,0.021061502809089163,3,0.0,0.0,0.0,1.0,0.0
4,4,0.024834698472796225,0.28411929841370953,0.03538811575390598,0.21215481233188635,0.4435030750277018,4,0.0,0.0,0.0,0.0,1.0,4,0.0,0.16,0.0,0.21,0.63,4,0.010601280722025739,0.27637852832589915,0.05444971867827595,0.23097176815340537,0.42759870412039397,1,0.0,0.4,0.0,0.2,0.4
1,1,0.014296147581177853,0.40006377273775134,0.06946913230411267,0.3501496517556968,0.16602129562126128,1,0.0,1.0,0.0,0.0,0.0,1,0.0,0.8,0.04,0.09,0.07,1,0.006706156306734709,0.4596302791129119,0.07121469225349257,0.31866788490700215,0.1437809874198589,1,0.0,0.8,0.2,0.0,0.0
0,2,0.21433480134278807,0.1559727770423145,0.3277974662777671,0.12891446448778635,0.1729804908493441,0,1.0,0.0,0.0,0.0,0.0,2,0.36,0.14,0.45,0.02,0.03,2,0.2179152491584973,0.1661320761374319,0.3102267932403823,0.11770130605641144,0.18802457540727682,1,0.2,0.4,0.4,0.0,0.0
4,1,0.03618370543326777,0.5097682121540161,0.17241887758913668,0.08430284300820223,0.19732636181537738,3,0.0,0.0,0.0,1.0,0.0,1,0.02,0.51,0.04,0.16,0.27,1,0.023915161461734117,0.5440545804362383,0.17119119567359276,0.07183038411425915,0.18900867831417553,1,0.0,0.4,0.0,0.4,0.2
2,0,0.6649747559152097,0.00016320713885007194,0.33463085585663543,0.00020356468369024856,2.7616405614698487e-05,2,0.0,0.0,1.0,0.0,0.0,0,0.53,0.0,0.47,0.0,0.0,0,0.6769123184312321,0.00011970714906759771,0.3227435862637906,4.855234463812836e-05,0.000175835811271494,0,0.6,0.0,0.4,0.0,0.0
0,0,0.5962081547353355,0.08019101459661326,0.15197469862399238,0.007867838494487306,0.16375829354957158,0,1.0,0.0,0.0,0.0,0.0,0,0.67,0.0,0.19,0.0,0.14,0,0.641597968615719,0.04892763015735958,0.1910683125972615,0.007749522508110666,0.11065656612154914,0,0.8,0.0,0.2,0.0,0.0
1,1,0.07646551373389135,0.4567905530664156,0.27703021417081003,0.08377055484509921,0.10594316418378376,2,0.0,0.0,1.0,0.0,0.0,1,0.01,0.55,0.21,0.1,0.13,1,0.06349264703140438,0.4509851345787647,0.2902030896923687,0.07746734751511834,0.11785178118234375,2,0.0,0.4,0.6,0.0,0.0
4,4,3.7519735373582626e-06,0.06361676647408697,0.00040846249773455665,0.006346753331313027,0.9296242657233281,1,0.0,1.0,0.0,0.0,0.0,4,0.0,0.35,0.14,0.08,0.43,4,7.332206709578124e-05,0.04726576799351313,0.0016722265496253688,0.006154794329608799,0.9448338890601571,1,0.0,0.6,0.0,0.0,0.4
4,2,0.09964702668481293,0.12449695668043434,0.37569536268467496,0.30910728186945274,0.09105337208062496,4,0.0,0.0,0.0,0.0,1.0,2,0.08,0.2,0.36,0.19,0.17,2,0.07065375150875648,0.1372883138697568,0.42057907721749593,0.24828488911813684,0.12319396828585424,2,0.2,0.0,0.4,0.2,0.2
2,0,0.5037501010616768,0.03159639949630711,0.3865188500555283,0.049470254877011635,0.0286643945094761,2,0.0,0.0,1.0,0.0,0.0,0,0.64,0.0,0.32,0.01,0.03,0,0.49142570511545214,0.02707304776582592,0.4034833460179269,0.032676610810556374,0.045341290290238624,0,0.6,0.0,0.4,0.0,0.0
1,1,0.06479548327237244,0.38326520701666367,0.1894952295207953,0.12093815708288436,0.24150592310728417,3,0.0,0.0,0.0,1.0,0.0,1,0.03,0.65,0.12,0.07,0.13,1,0.04470528674151663,0.4088115969813813,0.1919655866230526,0.1064778227851564,0.24803970686889285,2,0.0,0.2,0.4,0.2,0.2
2,0,0.5581147069683242,0.026571924466420465,0.35001257189789975,0.016181082094083244,0.04911971457327227,0,1.0,0.0,0.0,0.0,0.0,0,0.53,0.0,0.33,0.0,0.14,0,0.4866430595359496,0.020011396473217258,0.43195091643065775,0.012682741567926675,0.048711885992248356,0,0.6,0.0,0.2,0.0,0.2
1,4,0.023013106599397773,0.31500214980136854,0.08819629786301998,0.19647919516839335,0.37730925056782044,4,0.0,0.0,0.0,0.0,1.0,1,0.01,0.47,0.02,0.16,0.34,4,0.012774876666970995,0.29715726810579807,0.10794932862654535,0.18845308459632287,0.39366544200436276,1,0.0,0.6,0.2,0.2,0.0
4,3,0.03192440072894973,0.14426294097615458,0.09099093126435683,0.40069985440935807,0.3321218726211808,4,0.0,0.0,0.0,0.0,1.0,4,0.01,0.15,0.05,0.36,0.43,3,0.01613926076691248,0.10481358369784328,0.11972479616764543,0.42047585847145624,0.33884650089614304,4,0.0,0.0,0.2,0.2,0.6
2,4,0.08207693403930395,0.22818419120893105,0.20880722352903144,0.10859659009471798,0.3723350611280156,3,0.0,0.0,0.0,1.0,0.0,1,0.14,0.33,0.26,0.14,0.13,4,0.10572292338555912,0.23285540822430895,0.20099445405397703,0.11422989433925271,0.3461973199969023,1,0.0,0.6,0.2,0.2,0.0
4,4,0.0006563097637759844,0.2381260509099742,0.014924800386080333,0.23032382951712876,0.5159690094230407,3,0.0,0.0,0.0,1.0,0.0,4,0.0,0.18,0.0,0.31,0.51,4,0.0011220216576075727,0.18002393031858827,0.02407180202611141,0.2309529428074441,0.5638293031902486,3,0.0,0.2,0.0,0.4,0.4
0,2,0.4879737011433961,0.002408906350967846,0.5024177894694076,0.006184999650479853,0.0010146033857486448,0,1.0,0.0,0.0,0.0,0.0,0,0.59,0.0,0.36,0.02,0.03,2,0.4793711966411459,0.0016911206596742093,0.513770409395772,0.0020084186029245745,0.0031588547004827885,0,0.6,0.0,0.4,0.0,0.0
