True,pred,prob_0,prob_1,prob_2,prob_3,prob_4
3,3,0.008949401,0.01611643,0.014048797,0.9474179,0.0134673985
1,1,0.012228746,0.93082297,0.01993733,0.016176665,0.020834304
3,3,0.008976931,0.023408264,0.025656234,0.9222676,0.01969097
1,3,0.031399798,0.1803417,0.15715492,0.4088313,0.22227225
1,1,0.02158586,0.9314877,0.019682279,0.011528166,0.015716022
1,1,0.017475473,0.9434187,0.015233229,0.011216902,0.012655817
3,3,0.008934073,0.015072489,0.013034236,0.9524703,0.010488816
1,1,0.009871306,0.9457909,0.013619693,0.0111733675,0.019544765
4,4,0.020016737,0.016686993,0.025782999,0.02866595,0.90884733
2,0,0.5971263,0.018685332,0.34753022,0.015058443,0.021599645
1,1,0.015539509,0.6840037,0.027109226,0.029765459,0.24358208
0,1,0.30181018,0.4064649,0.25124338,0.014862899,0.025618661
1,1,0.015503846,0.918817,0.018582525,0.017268213,0.029828496
2,0,0.55211085,0.013794487,0.40952426,0.010519401,0.014051047
4,4,0.011905403,0.014943397,0.026891697,0.019144548,0.927115
4,4,0.06683815,0.034977566,0.14155285,0.02463451,0.73199695
4,4,0.018630596,0.013021453,0.03135012,0.020336568,0.9166613
4,4,0.011481787,0.01658737,0.025256464,0.018527526,0.92814684
1,2,0.3085863,0.23258822,0.3268933,0.016251864,0.11568036
4,4,0.014680381,0.014492865,0.022936264,0.015553222,0.9323372
0,0,0.6397433,0.012690302,0.31897745,0.012241663,0.016347248
1,1,0.019006606,0.5919285,0.040940333,0.026508957,0.3216156
3,3,0.010509245,0.017502137,0.026170557,0.9218909,0.023927124
3,3,0.01095455,0.019415207,0.017859196,0.93903637,0.01273468
2,0,0.5031695,0.01332173,0.45732188,0.010762419,0.015424511
1,2,0.31490806,0.27644438,0.32435864,0.032954022,0.051334903
3,3,0.008799926,0.01847452,0.013942554,0.9456126,0.013170364
0,0,0.55725,0.030292764,0.38452145,0.012952118,0.01498366
2,1,0.016068099,0.9385239,0.016485592,0.013236544,0.015685968
2,2,0.19180131,0.018012252,0.7474051,0.016773146,0.026008137
4,4,0.014754742,0.021528,0.042871106,0.02657096,0.89427507
4,4,0.015566584,0.0140455775,0.019538911,0.015565745,0.93528306
3,3,0.008617364,0.015763795,0.012817952,0.95340097,0.00939993
2,0,0.7257794,0.013706374,0.23487464,0.010726595,0.014912953
4,1,0.027996717,0.8948946,0.031690046,0.017205175,0.028213348
0,0,0.7387242,0.016681213,0.21962759,0.00922763,0.015739359
2,2,0.46078503,0.011901898,0.49479237,0.015100153,0.01742054
0,0,0.6280168,0.011843084,0.334578,0.011563534,0.013998531
0,0,0.64296144,0.01082459,0.31643242,0.0131958565,0.016585613
2,2,0.3736147,0.011340936,0.58873487,0.011946017,0.014363442
0,0,0.7578036,0.011966166,0.20418753,0.010981158,0.015061599
0,4,0.056607854,0.20727967,0.23300572,0.020749044,0.48235774
4,2,0.19916452,0.1124602,0.56493646,0.03908124,0.08435758
3,3,0.0083851935,0.013710086,0.013932499,0.95488334,0.009088844
2,2,0.19131729,0.018173542,0.75794363,0.0123681,0.020197479
3,3,0.010347665,0.016319416,0.021394012,0.88531905,0.066619866
2,3,0.07915905,0.052463997,0.30217278,0.42085388,0.14535017
3,3,0.009648123,0.014575729,0.015511484,0.94454914,0.015715523
4,4,0.021228982,0.017473396,0.027043903,0.023703478,0.91055024
0,0,0.5028189,0.010654491,0.4520901,0.015460832,0.01897575
0,0,0.77213067,0.011969632,0.18783177,0.010686787,0.01738114
0,0,0.7286813,0.014205859,0.23128316,0.010019545,0.015810026
2,0,0.6131338,0.019491816,0.3383471,0.013140432,0.015886923
3,3,0.0075496556,0.013913395,0.013769507,0.95327353,0.011493899
2,0,0.6499753,0.01108951,0.31244516,0.011291544,0.015198447
3,3,0.0086723,0.016416159,0.012155549,0.9511234,0.011632561
1,4,0.029653365,0.33165452,0.08838647,0.02444081,0.5258649
1,1,0.014800241,0.9403539,0.01450699,0.010876508,0.019462418
4,4,0.014002741,0.015436595,0.048519142,0.01578723,0.9062543
4,3,0.011307152,0.016402354,0.030008283,0.84876305,0.09351917
4,4,0.017705986,0.016936803,0.03860652,0.014594424,0.9121563
2,2,0.47169098,0.014013365,0.48425362,0.011333686,0.01870843
1,1,0.022266217,0.92198515,0.020734705,0.015199579,0.019814368
0,0,0.6502132,0.017507136,0.3078953,0.009368356,0.015016019
4,4,0.017130168,0.014918372,0.06688318,0.021757698,0.8793106
0,0,0.62481976,0.0143828355,0.33097607,0.014274299,0.015547041
2,2,0.33162284,0.04910549,0.5917453,0.013135601,0.01439076
3,3,0.02423252,0.021204252,0.07773902,0.7626763,0.11414788
0,0,0.6320391,0.013151743,0.3270112,0.011576074,0.016221832
1,1,0.018726408,0.9364386,0.017373694,0.012800275,0.014660908
2,0,0.5347858,0.013297629,0.42955792,0.009983684,0.0123749925
3,3,0.057530984,0.12106545,0.10565417,0.509058,0.20669143
1,1,0.028419595,0.7118982,0.055222485,0.045348626,0.15911104
0,0,0.64415455,0.015909608,0.30466908,0.016729007,0.018537726
3,3,0.009245872,0.014652685,0.015431949,0.95156306,0.00910644
