True,LR,LR_prob_0,LR_prob_1,LR_prob_2,LR_prob_3,LR_prob_4,DT,DT_prob_0,DT_prob_1,DT_prob_2,DT_prob_3,DT_prob_4,RF,RF_prob_0,RF_prob_1,RF_prob_2,RF_prob_3,RF_prob_4,SVM,SVM_prob_0,SVM_prob_1,SVM_prob_2,SVM_prob_3,SVM_prob_4,KNN,KNN_prob_0,KNN_prob_1,KNN_prob_2,KNN_prob_3,KNN_prob_4
3,3,0.11187107998720305,0.13804514282268898,0.16723132884991632,0.36763743179118014,0.2152150165490114,3,0.0,0.0,0.0,1.0,0.0,3,0.06,0.08,0.06,0.55,0.25,3,0.016485617059635808,0.035907485781345186,0.0815304277743858,0.6909785937899443,0.17509787559468917,3,0.0,0.0,0.0,0.8,0.2
2,2,0.23017351303074116,0.1397327070538141,0.39326578739523443,0.10385849911542461,0.1329694934047856,2,0.0,0.0,1.0,0.0,0.0,2,0.23,0.14,0.35,0.05,0.23,2,0.31702856397163076,0.056432887357324026,0.5708056661003074,0.011759353985029693,0.04397352858570772,2,0.2,0.2,0.6,0.0,0.0
4,4,0.1476571299017337,0.23584652101806378,0.18603426923367006,0.1743360512332107,0.2561260286133218,1,0.0,1.0,0.0,0.0,0.0,1,0.06,0.38,0.11,0.12,0.33,4,0.04794107339022673,0.27543981180924154,0.17329203009424882,0.07922368781481202,0.4241033968914711,1,0.2,0.4,0.2,0.0,0.2
0,1,0.26849211413590673,0.27069623012701904,0.17159349122649256,0.1000316587349497,0.18918650577563198,1,0.0,1.0,0.0,0.0,0.0,1,0.22,0.43,0.17,0.06,0.12,1,0.21150642230918038,0.4299128113094329,0.18476288624253137,0.01706334529446648,0.15675453484438898,0,0.4,0.2,0.2,0.0,0.2
1,1,0.09805342229717734,0.3504538425689279,0.22307614688851893,0.12292748897805725,0.2054890992673186,1,0.0,1.0,0.0,0.0,0.0,1,0.19,0.37,0.19,0.09,0.16,1,0.017198232212763506,0.7149665763219055,0.17833841944821144,0.010520041228709458,0.0789767307884102,1,0.0,0.8,0.2,0.0,0.0
3,3,0.05664775489811942,0.07480730508963777,0.07812067587833105,0.677346528334539,0.11307773579937282,3,0.0,0.0,0.0,1.0,0.0,3,0.02,0.01,0.04,0.83,0.1,3,0.00035462076656430253,0.0026199893033060505,0.002064643040394168,0.9916905703879622,0.0032701765017734306,3,0.0,0.0,0.0,1.0,0.0
3,3,0.1438508425289893,0.16165831681444476,0.16014129166221278,0.3646193185474587,0.1697302304468944,4,0.0,0.0,0.0,0.0,1.0,4,0.09,0.14,0.21,0.19,0.37,3,0.01853200880188952,0.017862280953505075,0.024739138383932553,0.9142056183011459,0.02466095355952703,3,0.0,0.0,0.0,0.8,0.2
1,4,0.11379470371362957,0.28334675275791765,0.1288386652244354,0.15521614345154727,0.3188037348524701,1,0.0,1.0,0.0,0.0,0.0,4,0.09,0.38,0.08,0.03,0.42,4,0.016973067052143426,0.20444255611740872,0.03777300133678616,0.09116861836007485,0.6496427571335867,1,0.2,0.4,0.0,0.0,0.4
2,0,0.3331409645687514,0.1283931493338928,0.250034993944679,0.08006789396329198,0.2083629981893849,2,0.0,0.0,1.0,0.0,0.0,2,0.37,0.07,0.39,0.03,0.14,0,0.439719656863073,0.031104926862613888,0.34195470890430013,0.0027497083983633428,0.1844709989716497,0,0.6,0.2,0.0,0.0,0.2
1,1,0.10287670065842222,0.3561590947482697,0.17011931226879767,0.145579556976904,0.22526533534760662,4,0.0,0.0,0.0,0.0,1.0,1,0.08,0.44,0.05,0.09,0.34,1,0.017845592987040068,0.6494237115393646,0.1258991176275752,0.044976379542118,0.16185519830390185,1,0.0,1.0,0.0,0.0,0.0
1,1,0.22509650250595636,0.3585121150490069,0.16157598861590092,0.08430143994388219,0.17051395388525353,1,0.0,1.0,0.0,0.0,0.0,1,0.18,0.52,0.09,0.03,0.18,1,0.10881717172024485,0.6809112036777745,0.12048767959922353,0.004635437348870994,0.08514850765388624,1,0.2,0.4,0.2,0.0,0.2
2,4,0.1680221517375598,0.1569154600486459,0.23694482957572893,0.19134040470812466,0.2467771539299407,4,0.0,0.0,0.0,0.0,1.0,4,0.2,0.18,0.24,0.06,0.32,4,0.09099551491205884,0.06497142195808027,0.3362419118939245,0.09642486351934537,0.4113662877165911,0,0.4,0.0,0.2,0.2,0.2
1,1,0.13145501864688988,0.32229257513788595,0.16828585846089733,0.1607892637349735,0.2171772840193533,1,0.0,1.0,0.0,0.0,0.0,1,0.15,0.4,0.14,0.07,0.24,1,0.03619015726366262,0.4933012053549182,0.11259085250074755,0.07279562815972149,0.2851221567209502,1,0.0,0.6,0.0,0.2,0.2
3,3,0.03187559385978455,0.043205731743893305,0.04970599122255784,0.7603233417860131,0.11488934138775118,3,0.0,0.0,0.0,1.0,0.0,3,0.03,0.03,0.02,0.77,0.15,3,3.7012988940499214e-07,4.145506479013735e-07,4.222855119018814e-07,0.9993301357461524,0.0006686572877983829,3,0.0,0.0,0.0,1.0,0.0
4,4,0.08112699471196684,0.282913054469902,0.1304597897519566,0.1591615244626041,0.3463386366035704,1,0.0,1.0,0.0,0.0,0.0,4,0.02,0.34,0.04,0.13,0.47,4,0.004424347763158835,0.3102346831599222,0.03820941452739684,0.04352480832257585,0.6036067462269461,1,0.0,0.8,0.2,0.0,0.0
2,2,0.18905597027963958,0.20168381073472647,0.24195913184950393,0.1523635294408795,0.21493755769525058,2,0.0,0.0,1.0,0.0,0.0,2,0.24,0.14,0.27,0.08,0.27,2,0.15254310041790656,0.17522420046889253,0.40973498240948547,0.03930233657912031,0.22319538012459528,0,0.6,0.0,0.2,0.0,0.2
3,3,0.09658928745829383,0.13237627518938222,0.14764644500629243,0.34879727338123495,0.2745907189647965,4,0.0,0.0,0.0,0.0,1.0,3,0.07,0.06,0.08,0.47,0.32,4,0.012674583112042977,0.03732494429683723,0.07138831316092681,0.548984993899677,0.32962716553051585,3,0.0,0.0,0.0,0.6,0.4
1,2,0.12350289065386803,0.2160115071808702,0.2263334856072474,0.21403187656072756,0.2201202399972869,3,0.0,0.0,0.0,1.0,0.0,3,0.09,0.25,0.09,0.29,0.28,2,0.05165218415464278,0.2579587645627102,0.35153183800699006,0.17673041989724447,0.16212679337841238,2,0.2,0.2,0.4,0.2,0.0
3,3,0.04669161183964466,0.06534183268618843,0.07237511631784078,0.6866947203410002,0.12889671881532597,3,0.0,0.0,0.0,1.0,0.0,3,0.01,0.04,0.04,0.75,0.16,3,0.00016103293202458294,0.0011546840897666132,0.0011837311196155928,0.9944994472247689,0.003001104633824206,3,0.0,0.0,0.0,1.0,0.0
1,1,0.04275176782120192,0.41771717733318287,0.0840701382592094,0.10308380883533867,0.35237710775106723,1,0.0,1.0,0.0,0.0,0.0,1,0.05,0.58,0.07,0.06,0.24,1,0.0015336638151312687,0.7106990359685228,0.012055972932507101,0.013877037357593979,0.26183428992624475,1,0.0,0.4,0.0,0.2,0.4
1,1,0.17291863616880135,0.3738075183975442,0.16952904472929103,0.1290131141208546,0.1547316865835087,1,0.0,1.0,0.0,0.0,0.0,1,0.18,0.57,0.14,0.03,0.08,1,0.04946733456465353,0.745499963084634,0.10900036047850799,0.02761688007490152,0.06841546179730333,1,0.0,1.0,0.0,0.0,0.0
2,0,0.5424231071782338,0.060318165145424284,0.28905715050549524,0.03788324149623549,0.07031833567461115,0,1.0,0.0,0.0,0.0,0.0,0,0.53,0.07,0.35,0.0,0.05,0,0.6414123638075436,0.0015964119255812374,0.35416177866431453,0.00017222798491475447,0.0026572176176457487,0,0.8,0.0,0.2,0.0,0.0
2,1,0.13082057036788708,0.2535310344881231,0.24927226679423198,0.1336956256570565,0.2326805026927013,2,0.0,0.0,1.0,0.0,0.0,2,0.19,0.18,0.29,0.09,0.25,1,0.044527087074984484,0.3957120316174324,0.3269324289120796,0.0243826850839287,0.2084457673115752,1,0.0,0.6,0.0,0.0,0.4
1,1,0.11128595259043692,0.5050915248133206,0.15586901955972435,0.10326566112366672,0.12448784191285137,4,0.0,0.0,0.0,0.0,1.0,1,0.16,0.33,0.16,0.14,0.21,1,0.010834799107843745,0.9236439682852066,0.0393389706146206,0.00602965094573429,0.020152611046594746,1,0.0,0.8,0.2,0.0,0.0
0,0,0.556872191019441,0.0358103262535761,0.3417149574027395,0.025689169035569868,0.03991335628867357,0,1.0,0.0,0.0,0.0,0.0,0,0.5,0.08,0.32,0.03,0.07,0,0.6203525952360588,0.0015755616408513339,0.37617240586507705,0.0003623811034674538,0.0015370561545454014,2,0.4,0.0,0.6,0.0,0.0
3,3,0.0614881064359753,0.0681370599381559,0.08384299369885938,0.6525691339324416,0.13396270599456778,3,0.0,0.0,0.0,1.0,0.0,3,0.02,0.02,0.06,0.78,0.12,3,0.0005375095127056966,0.0013462750584263988,0.002007868612020159,0.9888888783447283,0.0072194684721195845,3,0.0,0.0,0.0,1.0,0.0
1,4,0.0729734745874686,0.19001738567060722,0.1398430787458057,0.09432781276806468,0.5028382482280538,1,0.0,1.0,0.0,0.0,0.0,4,0.08,0.37,0.1,0.07,0.38,4,0.005351772396193593,0.07478900604707726,0.03960759073965763,0.005612724409572761,0.8746389064074991,4,0.0,0.2,0.0,0.2,0.6
